temp,external_field,n_particles_1d,n_particles,n_sweeps,beta,J,tau,block_size,mean_absolute_spin,std_mean_absolute_spin,energy_per_spin,std_energy_per_spin,magnetic_susceptibility_per_spin,std_magnetic_susceptibility_per_spin,specific_heat_per_spin,std_specific_heat_per_spin,mean_vortex_density,std_vortex_density,mean_n_vortices,std_n_vortices,mean_n_antivortices,std_n_antivortices,thermalization_cut,n_samples_after_thermalization,source_file
0.85,0,20,400,5000,1.1764705882352942,1,47.83485965869831,765,0.7144748366957758,0.008303405849621168,-1.4874651358233528,0.0057867044491196765,1.5690180625661003,1.1224395591576457,0.909664326464595,0.13355887512616085,0.005232026143790851,0.0006618659649795222,1.04640522875817,0.13237319299590442,1.04640522875817,0.13237319299590442,275,4725,data_with_field/T_0.85_N_020_h_0.00_data.npz
0.85,0.25,20,400,5000,1.1764705882352942,1,11.47112677793827,183,0.8127056271502408,0.00138946739573685,-1.7554796042423069,0.0024676987639858615,0.1732593653126469,0.08447287553707881,0.6795282416035952,0.15611615952751695,0.0019178226145439262,0.000448088713230823,0.3835645229087851,0.08961774264616461,0.3835645229087851,0.08961774264616461,137,4863,data_with_field/T_0.85_N_020_h_0.25_data.npz
0.85,0.5,20,400,5000,1.1764705882352942,1,7.251439946948652,116,0.8456639958517898,0.0007572299379265543,-2.0166004673833444,0.0018255180398800332,0.08101392129001665,0.02569522827536984,0.5580256320238485,0.13063381318738393,0.0007422203532380152,0.00028681000071267035,0.148444070647603,0.057362000142534064,0.148444070647603,0.057362000142534064,171,4829,data_with_field/T_0.85_N_020_h_0.50_data.npz
0.85,1,20,400,5000,1.1764705882352942,1,6.44415366094075,103,0.8795418463894066,0.000512838669752861,-2.5303173369804384,0.001675714228489841,0.04149823566220965,0.014714134865839421,0.5381326869470565,0.14231560415678549,0.00019314191282792813,0.0001337067518570046,0.038628382565585616,0.026741350371400914,0.038628382565585616,0.026741350371400914,131,4869,data_with_field/T_0.85_N_020_h_1.00_data.npz
0.85,2,20,400,5000,1.1764705882352942,1,6.467205971402897,103,0.9114492520166079,0.0003538378203232739,-3.543231090651813,0.0016519379690793914,0.019453483162124936,0.0059701089600411265,0.498864988291862,0.1468987287123899,1.6525511258004545e-05,4.9872685558841676e-05,0.003305102251600909,0.009974537111768335,0.003305102251600909,0.009974537111768335,137,4863,data_with_field/T_0.85_N_020_h_2.00_data.npz
0.88,0,20,400,5000,1.1363636363636365,1,35.1063825431015,561,0.7094666382687005,0.005618033102341078,-1.4648984601900799,0.005226434720457322,0.795163037474022,0.29578518175625307,0.9302978192766403,0.16434277600883732,0.006785873440285205,0.0011467127368824314,1.357174688057041,0.2293425473764862,1.357174688057041,0.2293425473764862,224,4776,data_with_field/T_0.88_N_020_h_0.00_data.npz
0.88,0.25,20,400,5000,1.1363636363636365,1,9.256177256623571,148,0.8041490520725622,0.0012273697437507303,-1.7322408544316539,0.002290592228096289,0.15890546434346492,0.0630799486461262,0.668457156136691,0.15155302691937286,0.002541173986486487,0.0005399090671088654,0.5082347972972973,0.10798181342177308,0.5082347972972973,0.10798181342177308,170,4830,data_with_field/T_0.88_N_020_h_0.25_data.npz
0.88,0.5,20,400,5000,1.1363636363636365,1,7.625764261099389,122,0.8389924666911833,0.0007882021143436342,-1.995950389417581,0.001980943248305416,0.0805329853649272,0.02149263163567845,0.6012163901511799,0.1660247012268504,0.0010960487599831865,0.0004295020578549362,0.21920975199663717,0.08590041157098724,0.21920975199663717,0.08590041157098724,132,4868,data_with_field/T_0.88_N_020_h_0.50_data.npz
0.88,1,20,400,5000,1.1363636363636365,1,6.744621178682766,107,0.8744720030084129,0.0005515911072274299,-2.5115283920397053,0.001794377498665824,0.04404570002476369,0.015472051299230235,0.5388905186934932,0.1294890954519804,0.0002492211838006231,0.00015434071473734027,0.049844236760124595,0.030868142947468053,0.049844236760124595,0.030868142947468053,132,4868,data_with_field/T_0.88_N_020_h_1.00_data.npz
0.88,2,20,400,5000,1.1363636363636365,1,6.091894242196203,97,0.9079347609881775,0.00036101172785538247,-3.5255669176069344,0.001686054669803876,0.02120342641613482,0.007586385724530604,0.5320353515402315,0.1781953915000851,1.5463917525773194e-05,4.912247446290992e-05,0.0030927835051546386,0.009824494892581984,0.0030927835051546386,0.009824494892581984,137,4863,data_with_field/T_0.88_N_020_h_2.00_data.npz
0.9,0,20,400,5000,1.1111111111111112,1,66.11819094836505,1057,0.6890568539359112,0.011167669349027715,-1.4395446578415687,0.007251293435190433,2.000765346846079,1.7820577704304101,0.9377110360887602,0.21521084837901894,0.00903973509933775,0.0005903808747581056,1.8079470198675498,0.11807617495162126,1.8079470198675498,0.11807617495162126,158,4842,data_with_field/T_0.90_N_020_h_0.00_data.npz
0.9,0.25,20,400,5000,1.1111111111111112,1,8.809828125625522,140,0.8009421706190881,0.0011834856450247528,-1.720887807814917,0.0022792577759210217,0.15516296059646187,0.05805917953989716,0.6596711863822837,0.1884476961437038,0.002863445378151261,0.0005775825676621211,0.5726890756302521,0.11551651353242423,0.5726890756302521,0.11551651353242423,142,4858,data_with_field/T_0.90_N_020_h_0.25_data.npz
0.9,0.5,20,400,5000,1.1111111111111112,1,7.057638783231057,112,0.8367592087494405,0.0007914981908746156,-1.9853868238866608,0.001984283443287041,0.0844362814108614,0.031567904695194576,0.61843447795567,0.19278101208014475,0.0012562292358803987,0.000441574524436396,0.25124584717607973,0.0883149048872792,0.25124584717607973,0.0883149048872792,125,4875,data_with_field/T_0.90_N_020_h_0.50_data.npz
0.9,1,20,400,5000,1.1111111111111112,1,7.223824241271284,115,0.8719189125684735,0.0005874324676562451,-2.49937542216177,0.0019938044436658173,0.04657422681997997,0.015743503332115917,0.6054921641416571,0.17988716971690846,0.0003260869565217391,0.00017971499098358944,0.06521739130434782,0.03594299819671789,0.06521739130434782,0.03594299819671789,122,4878,data_with_field/T_0.90_N_020_h_1.00_data.npz
0.9,2,20,400,5000,1.1111111111111112,1,6.0231998557985,96,0.9059266788536847,0.0003571458909490832,-3.514384721074487,0.0016830070896711317,0.020575434370713276,0.007133064216954289,0.5115579030039323,0.1518910444526055,3.125e-05,6.486456761221241e-05,0.006250000000000001,0.01297291352244248,0.006250000000000001,0.01297291352244248,122,4878,data_with_field/T_0.90_N_020_h_2.00_data.npz
0.95,0,20,400,5000,1.0526315789473684,1,36.79298970862805,588,0.6670515721370058,0.007517043966805806,-1.393691039508311,0.006133340335403616,1.3727135193967246,0.6638751594194656,1.0830082342438943,0.1225711520378426,0.013297193877551022,0.001314065411575466,2.659438775510204,0.26281308231509304,2.659438775510204,0.26281308231509304,183,4817,data_with_field/T_0.95_N_020_h_0.00_data.npz
0.95,0.25,20,400,5000,1.0526315789473684,1,10.049839786836863,160,0.7868067624284475,0.0013821523938967236,-1.6798057909998256,0.0027244183275183485,0.16796317079955886,0.05360907218691841,0.7429884674417354,0.18084966380313836,0.004520833333333334,0.0008987814028213264,0.9041666666666668,0.17975628056426526,0.9041666666666668,0.17975628056426526,148,4852,data_with_field/T_0.95_N_020_h_0.25_data.npz
0.95,0.5,20,400,5000,1.0526315789473684,1,5.867556834256153,93,0.8236066032776687,0.0007664447844011545,-1.947482864411512,0.0019634486903761217,0.0940818873377119,0.0327518459613307,0.656696363009841,0.23109005157574178,0.002023366418527709,0.0005397416899602718,0.40467328370554184,0.10794833799205436,0.40467328370554184,0.10794833799205436,124,4876,data_with_field/T_0.95_N_020_h_0.50_data.npz
0.95,1,20,400,5000,1.0526315789473684,1,6.617748342045767,105,0.8629772301188388,0.0005927022524250332,-2.4663781447305193,0.002007886153981213,0.04824929176876935,0.014642569043102236,0.5931109485466547,0.16121832624762691,0.0005517598343685301,0.00026533607699909755,0.11035196687370598,0.05306721539981951,0.11035196687370598,0.05306721539981951,122,4878,data_with_field/T_0.95_N_020_h_1.00_data.npz
0.95,2,20,400,5000,1.0526315789473684,1,6.314011876811288,101,0.9002695994925763,0.00039242997926516247,-3.4849006308782267,0.0018550004232555457,0.022545621911118547,0.006777818952751304,0.5246081460368893,0.14884658879940552,6.291254125412542e-05,0.00010746477703733718,0.012582508250825082,0.021492955407467436,0.012582508250825082,0.021492955407467436,145,4855,data_with_field/T_0.95_N_020_h_2.00_data.npz
1.0,0,20,400,5000,1.0,1,168.6532413111349,2698,0.590157004432103,0.022538315962547312,-1.3247694988546037,0.014142321275679652,1.1600666904240802,nan,1.0997242268721572,nan,0.021245366938472947,nan,4.2490733876945885,nan,4.2490733876945885,nan,214,4786,data_with_field/T_1.00_N_020_h_0.00_data.npz
1.0,0.25,20,400,5000,1.0,1,10.151125085792705,162,0.7689309655841543,0.001566618219052635,-1.6391714251810345,0.0029999995445425614,0.20957261016230636,0.07036424358787464,0.8326605058502222,0.2123824271751478,0.00687037037037037,0.0009014648900626716,1.3740740740740742,0.18029297801253427,1.3740740740740742,0.18029297801253427,129,4871,data_with_field/T_1.00_N_020_h_0.25_data.npz
1.0,0.5,20,400,5000,1.0,1,7.3879455547606465,118,0.8126778524141739,0.0009707771162606202,-1.9121064816606566,0.0024117533966999337,0.11399038124701898,0.04101201031234565,0.7209804617312614,0.2589638781079276,0.003079785035138487,0.0006366121087861365,0.6159570070276974,0.1273224217572273,0.6159570070276974,0.1273224217572273,128,4872,data_with_field/T_1.00_N_020_h_0.50_data.npz
1.0,1,20,400,5000,1.0,1,5.484835686216548,87,0.854919133644422,0.0005757230571454897,-2.4356244363902944,0.001911055442343403,0.052725354746774436,0.021020860284082985,0.5990041321731352,0.21740669336716884,0.000748152709359606,0.00029842648782615145,0.1496305418719212,0.05968529756523029,0.1496305418719212,0.05968529756523029,126,4874,data_with_field/T_1.00_N_020_h_1.00_data.npz
1.0,2,20,400,5000,1.0,1,5.545842652219789,88,0.8949223875503683,0.0003909710248586659,-3.4581369041420142,0.001860644613820643,0.024564117526887832,0.00991522046573359,0.5602486701571027,0.20137495952178686,6.301652892561982e-05,7.783816511354027e-05,0.012603305785123966,0.015567633022708053,0.012603305785123966,0.015567633022708053,115,4885,data_with_field/T_1.00_N_020_h_2.00_data.npz
1.0999999999999999,0,20,400,5000,0.9090909090909092,1,66.98090630061172,1071,0.45722187734150505,0.018270065863025344,-1.1898967248150178,0.011025713314352094,3.4430735888820903,1.1080740482404499,1.3627569050006039,0.18955441847218915,0.04423202614379085,0.002573234832635848,8.846405228758169,0.5146469665271701,8.846405228758169,0.5146469665271701,187,4813,data_with_field/T_1.10_N_020_h_0.00_data.npz
